warehouse,day,sourceCell,rawName,canonicalName,customerCode,status,routeType,notes
CAO_LANH,THỨ 2,B3,THANH BÌNH,YAGAMI THANH BÌNH,KH000008,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 3,C3,THẠNH PHÚ,YAGAMI THẠNH PHÚ,KH000125,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D3,LONG XUYÊN,YAGAMI LONG XUYÊN,KH000031,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 5,E3,THỐT NỐT,YAGAMI THỐT NỐT,KH000021,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F3,CÀ MAU,YAGAMI CÀ MAU,KH000041,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,GỬI XE NGOÀI,I3,CÁI TÀU,YAGAMI CÁI TÀU HẠ,KH000019,ACTIVE,EXTERNAL_VEHICLE,
CAO_LANH,THỨ 2,B4,AN LONG,YAGAMI AN LONG,KH000010,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 3,C4,BA TRI,YAGAMI BA TRI,KH000052,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D4,RẠCH GIÁ,YAGAMI RẠCH GIÁ,KH000042,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 5,E4,LẤP VÒ,YAGAMI LẤP VÒ,KH000024,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F4,PHƯỚC LONG,YAGAMI PHƯỚC LONG - BẠC LIÊU,KH000075,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 7,G4,KIẾN TƯỜNG,YAGAMI KIẾN TƯỜNG,KH000027,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,GỬI XE NGOÀI,I4,HÒA PHÚ,YAGAMI HÒA PHÚ - VĨNH LONG,KH000020,ACTIVE,EXTERNAL_VEHICLE,
CAO_LANH,THỨ 2,B5,HỒNG NGỰ,YAGAMI HỒNG NGỰ,KH000012,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 3,C5,BÌNH ĐẠI,YAGAMI BÌNH ĐẠI,KH000057,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D5,KIÊN LƯƠNG,YAGAMI KIÊN LƯƠNG,KH000060,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 5,E5,CỜ ĐỎ,YAGAMI CỜ ĐỎ,KH000044,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F5,NĂM CĂN,YAGAMI NĂM CĂN,KH000076,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 7,G5,THẠNH HOÁ,YAGAMI THẠNH HÓA,KH000182,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,GỬI XE NGOÀI,I5,LAI VUNG,YAGAMI LAI VUNG,KH000022,ACTIVE,EXTERNAL_VEHICLE,
CAO_LANH,THỨ 2,B6,TÂN HỒNG,YAGAMI TÂN HỒNG,KH000014,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 3,C6,MỎ CÀY,YAGAMI MỎ CÀY,KH000066,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D6,TRI TÔN,YAGAMI TRI TÔN,KH000071,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 5,E6,VỊ THANH,YAGAMI VỊ THANH,KH000051,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F6,GIÁ RAI,YAGAMI GIÁ RAI,KH000079,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 7,G6,ĐỨC HUỆ,YAGAMI ĐỨC HUỆ,KH000195,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,GỬI XE NGOÀI,I6,ĐẠI HỌC,YAGAMI ĐẠI HỌC,KH000025,ACTIVE,EXTERNAL_VEHICLE,
CAO_LANH,THỨ 2,B7,TAM NÔNG,YAGAMI TAM NÔNG,KH000015,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 3,C7,CÁI BÈ,YAGAMI CÁI BÈ,KH000003,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D7,THOẠI SƠN,YAGAMI THOẠI SƠN,KH000078,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 5,E7,THỚI LAI,YAGAMI THỚI LAI,KH000070,ACTIVE,SCHEDULED_TRUCK,
